nama_tempat,alamat,latitude,longitude,url_tempat,id_review,rating_bintang,nama_reviewer,url_review,isi_review,tanggal_review,rating_layanan,rating_makanan,rating_suasana,panjang_review,sentimen
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnTURJM0lUMEpREAE,5,Dee,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURJM0lUMEpREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMDI3IT0JQ%7CCgwI1L_SvwYQyMvmygI%7C?hl=id,"Resto di Mall Lampung city dg konsep you can eat all.. Setiap customer dikenakan charge 130 ribu sedangkan bagi customer yg berusia di atas 50 thn hanya dihargai 50 dari harga. Menunya macam2, ada Beef grill, Tom Yang, masakan Nusantara, beragam kue minuman, dll. Kita bisa ambil dan makan semuanya sesuai selera. Resto ini selalu rame terutama di bulan Ramadhan, full terus sehingga harus reservasi utk bisa dapat seats. Rasanya biasa saja, tidak uniqe. Pelayanannya bagus, cepat responsif...",2025-04-08,5.0,4.0,5.0,504,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnTURJLU9tTTRBRRAB,5,adhari ismael,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURJLU9tTTRBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMDI-OmM4AE%7CCgwIld_MvwYQgK7PoAI%7C?hl=id,Enak,2025-04-07,5.0,5.0,5.0,4,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnTUNJMklQSUFREAE,3,Danti Drazak,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNJMklQSUFREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMCI2IPIAQ%7CCgsItu6ivwYQqMKFYA%7C?hl=id,"Makanan dari pertama buka di lampung, smp tadi malam nyoba makan lagi disana kualitas makin turun.",2025-03-30,4.0,3.0,4.0,98,netral
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnTURRb2YzSzdRRRAB,5,Ayah HBD,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTURRb2YzSzdRRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMDQof3K7QE%7CCgwIgpjBvgYQgKaNrAE%7C?hl=id,Puas lah pokok nya,2025-03-11,5.0,5.0,5.0,20,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnTUNRcnNyNmNnEAE,5,liza septria,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNRcnNyNmNnEAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMCQrsr6cg%7CCgwIlcubvgYQyIWnyAM%7C?hl=id,"Pelayanan ramah, menu variatif, lemonade nya favorite si. Semua makanan enak. Mau nyobain semua ga sanggup.",2025-03-04,5.0,5.0,5.0,107,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnTUNBbXViekZBEAE,4,Putri Nabila Indra,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTUNBbXViekZBEAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMCAmubzFA%7CCgsI5ujwvAYQ6MLSaQ%7C?hl=id,Variasi makanannya banyak banget dan komplit tapi untuk dagingnya kurang banyak lemaknya tapi lumayan untuk harga 144.000 udah termasuk pajak,2025-01-31,5.0,3.0,5.0,141,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnTUNBN0pTdG5RRRAB,5,Suhaimi Thalib,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUNBN0pTdG5RRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgMCA7JStnQE%7CCgsIlOHrvAYQ2PnuQw%7C?hl=id,Mantap,2025-01-30,5.0,5.0,5.0,6,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnSURfMDUzN01REAE,4,Uwak Chanel,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURfMDUzN01REAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgID_0537MQ%7CCgwIqIDbvAYQwJ2txQE%7C?hl=id,Sedap,2025-01-26,3.0,4.0,3.0,5,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSURfbk5ITHV3RRAB,5,Tika Susanti,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURfbk5ITHV3RRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgID_nNHLuwE%7CCgwImqrDvAYQ0L2NtgI%7C?hl=id,Mantap,2025-01-22,5.0,5.0,5.0,6,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSURmOU8yZDJBRRAB,3,Her Sus,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURmOU8yZDJBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgIDf9O2d2AE%7CCgwIy-jjuwYQiLy3jwI%7C?hl=id,Semoga kedepanya dapat ditingkatkan,2025-01-04,4.0,3.0,3.0,35,netral
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSUNmaThXOXNBRRAB,3,Ardi Yanto,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNmaThXOXNBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgICfi8W9sAE%7CCgwIlJ7VuwYQ2KiDwAI%7C?hl=id,"Berkali kali datang,terakhir 30 desember 2024,harga naik,kualitas menurun dari segi varian makanan dan es krim",2025-01-01,3.0,3.0,3.0,110,netral
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnSUNmbmN2V2NBEAE,5,Johan Hadi,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNmbmN2V2NBEAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgICfncvWcA%7CCgwIlZHRuwYQ8PuC0gI%7C?hl=id,"Sumpah ya, ini all you can eat terbaik, TERUTAMA pelayanan manager nya, kami sedikit komplain karna daging nya agak keras, langsung disampaikan ke pihak manager, lalu manager mendatangi kami, memberikan kami 2 plate beef slice yg baru dgn kualitas yg terbaik, perlu di berikan apresiasi sebesar2nya thd manager Mr. Sumo.. sukses terus yaaa pak",2024-12-31,5.0,5.0,5.0,345,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSUNmeGJMWXdBRRAB,5,Joyo Wikromo (Mang DI),https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNmeGJMWXdBRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgICfxbLYwAE%7CCgwI-NnMuwYQ-Mn7_AE%7C?hl=id,"Salah satu tempat makan kekinian sepuasnya bersama Keluarga yg wajib dikunjungi bersama Keluarga. Harga, rasa, layanan dan suasana sesuai espektasi.",2024-12-30,5.0,5.0,5.0,148,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnSUR2enBuNENBEAE,1,lois oscar,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR2enBuNENBEAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgIDvzpn4CA%7CCgwIoY6WuwYQ0IrUoQM%7C?hl=id,"Daging slice nya tipis sekali, terlalu dominan lemaknya. Bawa 6 orang. Semua nya first imperssion tidak sesuai expetasi. Kirain enak. Seasoingbumbu nya dikit sekali. Saus nya padahal sudah dibanyakin tapi tidak meresap. Emg dr saosnya ga terlalu pekat. Jadi hampir tak berasa. Cukup sekali saja. Sngt beda sperti barropi yang dipalembang harga 90rb tapi enak. Di mr sumo hanya satu jenis pilihan daging slice nya. Lebih banyak suki2 frozen food malah jadi kayak seblak prasmanan dan satu lagi api nya tidak bisa dihidupkan. Harus dgn bantuan korek api karyawan nya. Dikarena kan pemantik kompot nya rusak mungkin. Jadi berkali2 manggil mbak nya",2024-12-20,2.0,1.0,1.0,648,negatif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSUR2NXZxeW5BRRAB,4,Wayan Arje,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUR2NXZxeW5BRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgIDv5vqynAE%7CCgsIhf2TuwYQwNXGcQ%7C?hl=id,"Tempat luas, bersih dan nyaman Staff nya ramah dna cukup membantu, khususnya untuk orang yg belum pernah makan di grill suki gitu, jd jangan sungkan nanya ke staffnya Makanan rata2 enak dan banyak variasi, banyak jenis daging, makanan berat, dessert, minuman, Harga bersahabat, apalagi untuk orang yg makan banyak. Tgl 20 des2025 145rborang",2024-12-20,4.0,4.0,4.0,342,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSUN2My0ydzFnRRAB,5,Ari Ardiansyah,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUN2My0ydzFnRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgICv3-2w1gE%7CCgwI3Kz_ugYQwPGSmwE%7C?hl=id,Lezat,2024-12-16,5.0,5.0,5.0,5,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnSURQbkp2aklnEAE,5,muhammad fauzi,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURQbkp2aklnEAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgIDPnJvjIg%7CCgwImtqpugYQwInhpQI%7C?hl=id,Tempatnya luas utk makan...,2024-11-30,5.0,5.0,5.0,27,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChZDSUhNMG9nS0VJQ0FnSUNQZy1TLVFREAE,5,Rodiyah Anwar,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNQZy1TLVFREAE!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgICPg-S-QQ%7CCgsI8uObugYQ8J2Jbg%7C?hl=id,"Alhamdulillah dpt kejutan ultah juga, pokoknya enak semua masakannya",2024-11-27,5.0,5.0,5.0,68,positif
Mr. Sumo - Lampung City Mall,"Jl. Yos Sudarso No.80 Lampung City Mall Lt. Lobby Blok 06C, Lampung 35226, Indonesia",-5.4427476,105.28021,https://www.google.com/maps/search/?api=1&query=Mr.%20Sumo%20-%20Lampung%20City%20Mall&query_place_id=ChIJzSh1JGDbQC4RtnlZlKXnpjY,ChdDSUhNMG9nS0VJQ0FnSUNQcnVfZDFRRRAB,1,M Z,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNQcnVfZDFRRRAB!2m1!1s0x0:0x36a6e7a5945979b6!3m1!1s2@1:CIHM0ogKEICAgICPru_d1QE%7CCgsI1oqNugYQ-NfQcA%7C?hl=id,Daging bau semua kirain karena lemakgajih After taste masih kerasa bau kebo Baksosukian masih sama kaya soft opening ga enak dan ga kenyal Daging banyak alot Es krim lumayan enak,2024-11-24,3.0,1.0,4.0,181,negatif
